Loading file decode
0 0x800007d0: lui    sp, 0x80020000
149 0x80000070: add    a1, sp, a4
150 0x80000074: lw     a1, 0(a1)
151 0x80000078: beq    a3, a1, 0x80000090
152 0x8000007c: addi   a4, a4, 4
153 0x80000080: addi   a0, zero, 32
154 0x80000084: bltu   a4, a0, 0x80000070
155 0x80000070: add    a1, sp, a4
156 0x80000074: lw     a1, 0(a1)
157 0x80000078: beq    a3, a1, 0x80000090
158 0x8000007c: addi   a4, a4, 4
159 0x80000080: addi   a0, zero, 32
160 0x80000084: bltu   a4, a0, 0x80000070
161 0x80000070: add    a1, sp, a4
162 0x80000074: lw     a1, 0(a1)
163 0x80000078: beq    a3, a1, 0x80000090
164 0x8000007c: addi   a4, a4, 4
165 0x80000080: addi   a0, zero, 32
166 0x80000084: bltu   a4, a0, 0x80000070
167 0x80000070: add    a1, sp, a4
168 0x80000074: lw     a1, 0(a1)
169 0x80000078: beq    a3, a1, 0x80000090
170 0x8000007c: addi   a4, a4, 4
171 0x80000080: addi   a0, zero, 32
172 0x80000084: bltu   a4, a0, 0x80000070
173 0x80000070: add    a1, sp, a4
174 0x80000074: lw     a1, 0(a1)
175 0x80000078: beq    a3, a1, 0x80000090
176 0x8000007c: addi   a4, a4, 4
177 0x80000080: addi   a0, zero, 32
178 0x80000084: bltu   a4, a0, 0x80000070
179 0x80000070: add    a1, sp, a4
180 0x80000074: lw     a1, 0(a1)
181 0x80000078: beq    a3, a1, 0x80000090
182 0x80000090: addi   a3, a3, 1
183 0x80000094: addi   a0, zero, 16
184 0x80000098: bltu   a3, a0, 0x8000006c
185 0x8000006c: addi   a4, zero, 0
186 0x80000070: add    a1, sp, a4
187 0x80000074: lw     a1, 0(a1)
188 0x80000078: beq    a3, a1, 0x80000090
189 0x8000007c: addi   a4, a4, 4
190 0x80000080: addi   a0, zero, 32
191 0x80000084: bltu   a4, a0, 0x80000070
192 0x80000070: add    a1, sp, a4
193 0x80000074: lw     a1, 0(a1)
194 0x80000078: beq    a3, a1, 0x80000090
195 0x8000007c: addi   a4, a4, 4
196 0x80000080: addi   a0, zero, 32
197 0x80000084: bltu   a4, a0, 0x80000070
198 0x80000070: add    a1, sp, a4
199 0x80000074: lw     a1, 0(a1)
200 0x80000078: beq    a3, a1, 0x80000090
201 0x8000007c: addi   a4, a4, 4
202 0x80000080: addi   a0, zero, 32
203 0x80000084: bltu   a4, a0, 0x80000070
204 0x80000070: add    a1, sp, a4
205 0x80000074: lw     a1, 0(a1)
206 0x80000078: beq    a3, a1, 0x80000090
207 0x8000007c: addi   a4, a4, 4
208 0x80000080: addi   a0, zero, 32
209 0x80000084: bltu   a4, a0, 0x80000070
210 0x80000070: add    a1, sp, a4
211 0x80000074: lw     a1, 0(a1)
212 0x80000078: beq    a3, a1, 0x80000090
213 0x8000007c: addi   a4, a4, 4
214 0x80000080: addi   a0, zero, 32
215 0x80000084: bltu   a4, a0, 0x80000070
216 0x80000070: add    a1, sp, a4
217 0x80000074: lw     a1, 0(a1)
218 0x80000078: beq    a3, a1, 0x80000090
219 0x8000007c: addi   a4, a4, 4
220 0x80000080: addi   a0, zero, 32
221 0x80000084: bltu   a4, a0, 0x80000070
222 0x80000070: add    a1, sp, a4
223 0x80000074: lw     a1, 0(a1)
224 0x80000078: beq    a3, a1, 0x80000090
225 0x8000007c: addi   a4, a4, 4
226 0x80000080: addi   a0, zero, 32
227 0x80000084: bltu   a4, a0, 0x80000070
228 0x80000070: add    a1, sp, a4
229 0x80000074: lw     a1, 0(a1)
230 0x80000078: beq    a3, a1, 0x80000090
231 0x80000090: addi   a3, a3, 1
232 0x80000094: addi   a0, zero, 16
233 0x80000098: bltu   a3, a0, 0x8000006c
234 0x8000006c: addi   a4, zero, 0
235 0x80000070: add    a1, sp, a4
236 0x80000074: lw     a1, 0(a1)
237 0x80000078: beq    a3, a1, 0x80000090
238 0x8000007c: addi   a4, a4, 4
239 0x80000080: addi   a0, zero, 32
240 0x80000084: bltu   a4, a0, 0x80000070
241 0x80000070: add    a1, sp, a4
242 0x80000074: lw     a1, 0(a1)
243 0x80000078: beq    a3, a1, 0x80000090
244 0x8000007c: addi   a4, a4, 4
245 0x80000080: addi   a0, zero, 32
246 0x80000084: bltu   a4, a0, 0x80000070
247 0x80000070: add    a1, sp, a4
248 0x80000074: lw     a1, 0(a1)
249 0x80000078: beq    a3, a1, 0x80000090
250 0x8000007c: addi   a4, a4, 4
251 0x80000080: addi   a0, zero, 32
252 0x80000084: bltu   a4, a0, 0x80000070
253 0x80000070: add    a1, sp, a4
254 0x80000074: lw     a1, 0(a1)
255 0x80000078: beq    a3, a1, 0x80000090
256 0x8000007c: addi   a4, a4, 4
257 0x80000080: addi   a0, zero, 32
258 0x80000084: bltu   a4, a0, 0x80000070
259 0x80000070: add    a1, sp, a4
260 0x80000074: lw     a1, 0(a1)
261 0x80000078: beq    a3, a1, 0x80000090
262 0x8000007c: addi   a4, a4, 4
263 0x80000080: addi   a0, zero, 32
264 0x80000084: bltu   a4, a0, 0x80000070
265 0x80000070: add    a1, sp, a4
266 0x80000074: lw     a1, 0(a1)
267 0x80000078: beq    a3, a1, 0x80000090
268 0x8000007c: addi   a4, a4, 4
269 0x80000080: addi   a0, zero, 32
270 0x80000084: bltu   a4, a0, 0x80000070
271 0x80000070: add    a1, sp, a4
272 0x80000074: lw     a1, 0(a1)
273 0x80000078: beq    a3, a1, 0x80000090
274 0x8000007c: addi   a4, a4, 4
275 0x80000080: addi   a0, zero, 32
276 0x80000084: bltu   a4, a0, 0x80000070
277 0x80000070: add    a1, sp, a4
278 0x80000074: lw     a1, 0(a1)
279 0x80000078: beq    a3, a1, 0x80000090
280 0x8000007c: addi   a4, a4, 4
281 0x80000080: addi   a0, zero, 32
282 0x80000084: bltu   a4, a0, 0x80000070
283 0x80000088: sw     a3, 0(a2)
284 0x8000008c: addi   a2, a2, 4
285 0x80000090: addi   a3, a3, 1
286 0x80000094: addi   a0, zero, 16
287 0x80000098: bltu   a3, a0, 0x8000006c
288 0x8000006c: addi   a4, zero, 0
289 0x80000070: add    a1, sp, a4
290 0x80000074: lw     a1, 0(a1)
291 0x80000078: beq    a3, a1, 0x80000090
292 0x8000007c: addi   a4, a4, 4
293 0x80000080: addi   a0, zero, 32
294 0x80000084: bltu   a4, a0, 0x80000070
295 0x80000070: add    a1, sp, a4
296 0x80000074: lw     a1, 0(a1)
297 0x80000078: beq    a3, a1, 0x80000090
298 0x8000007c: addi   a4, a4, 4
299 0x80000080: addi   a0, zero, 32
300 0x80000084: bltu   a4, a0, 0x80000070
301 0x80000070: add    a1, sp, a4
302 0x80000074: lw     a1, 0(a1)
303 0x80000078: beq    a3, a1, 0x80000090
304 0x8000007c: addi   a4, a4, 4
305 0x80000080: addi   a0, zero, 32
306 0x80000084: bltu   a4, a0, 0x80000070
307 0x80000070: add    a1, sp, a4
308 0x80000074: lw     a1, 0(a1)
309 0x80000078: beq    a3, a1, 0x80000090
310 0x8000007c: addi   a4, a4, 4
311 0x80000080: addi   a0, zero, 32
312 0x80000084: bltu   a4, a0, 0x80000070
313 0x80000070: add    a1, sp, a4
314 0x80000074: lw     a1, 0(a1)
315 0x80000078: beq    a3, a1, 0x80000090
316 0x8000007c: addi   a4, a4, 4
317 0x80000080: addi   a0, zero, 32
318 0x80000084: bltu   a4, a0, 0x80000070
319 0x80000070: add    a1, sp, a4
320 0x80000074: lw     a1, 0(a1)
321 0x80000078: beq    a3, a1, 0x80000090
322 0x8000007c: addi   a4, a4, 4
323 0x80000080: addi   a0, zero, 32
324 0x80000084: bltu   a4, a0, 0x80000070
325 0x80000070: add    a1, sp, a4
326 0x80000074: lw     a1, 0(a1)
327 0x80000078: beq    a3, a1, 0x80000090
328 0x8000007c: addi   a4, a4, 4
329 0x80000080: addi   a0, zero, 32
330 0x80000084: bltu   a4, a0, 0x80000070
331 0x80000070: add    a1, sp, a4
332 0x80000074: lw     a1, 0(a1)
333 0x80000078: beq    a3, a1, 0x80000090
334 0x8000007c: addi   a4, a4, 4
335 0x80000080: addi   a0, zero, 32
336 0x80000084: bltu   a4, a0, 0x80000070
337 0x80000088: sw     a3, 0(a2)
338 0x8000008c: addi   a2, a2, 4
339 0x80000090: addi   a3, a3, 1
340 0x80000094: addi   a0, zero, 16
341 0x80000098: bltu   a3, a0, 0x8000006c
342 0x8000006c: addi   a4, zero, 0
343 0x80000070: add    a1, sp, a4
